D:\major_project\data\IMG\center_2023_12_08_12_58_45_402.jpg, D:\major_project\data\IMG\left_2023_12_08_12_58_45_402.jpg, D:\major_project\data\IMG\right_2023_12_08_12_58_45_402.jpg, 0, 0, 0, 7.872054E-05
D:\major_project\data\IMG\center_2023_12_08_12_58_46_333.jpg, D:\major_project\data\IMG\left_2023_12_08_12_58_46_333.jpg, D:\major_project\data\IMG\right_2023_12_08_12_58_46_333.jpg, 0, 0, 0, 7.914797E-05
D:\major_project\data\IMG\center_2023_12_08_12_58_46_436.jpg, D:\major_project\data\IMG\left_2023_12_08_12_58_46_436.jpg, D:\major_project\data\IMG\right_2023_12_08_12_58_46_436.jpg, 0, 0, 0, 7.950296E-05
D:\major_project\data\IMG\center_2023_12_08_12_58_46_536.jpg, D:\major_project\data\IMG\left_2023_12_08_12_58_46_536.jpg, D:\major_project\data\IMG\right_2023_12_08_12_58_46_536.jpg, 0, 0, 0, 7.910921E-05
D:\major_project\data\IMG\center_2023_12_08_12_58_46_638.jpg, D:\major_project\data\IMG\left_2023_12_08_12_58_46_638.jpg, D:\major_project\data\IMG\right_2023_12_08_12_58_46_638.jpg, 0, 0, 0, 7.810525E-05
D:\major_project\data\IMG\center_2023_12_08_12_58_46_745.jpg, D:\major_project\data\IMG\left_2023_12_08_12_58_46_745.jpg, D:\major_project\data\IMG\right_2023_12_08_12_58_46_745.jpg, 0, 0, 0, 7.786629E-05
D:\major_project\data\IMG\center_2023_12_08_12_58_46_848.jpg, D:\major_project\data\IMG\left_2023_12_08_12_58_46_848.jpg, D:\major_project\data\IMG\right_2023_12_08_12_58_46_848.jpg, 0, 0, 0, 7.800359E-05
D:\major_project\data\IMG\center_2023_12_08_12_58_46_949.jpg, D:\major_project\data\IMG\left_2023_12_08_12_58_46_949.jpg, D:\major_project\data\IMG\right_2023_12_08_12_58_46_949.jpg, 0, 0, 0, 7.796697E-05
D:\major_project\data\IMG\center_2023_12_08_12_58_47_050.jpg, D:\major_project\data\IMG\left_2023_12_08_12_58_47_050.jpg, D:\major_project\data\IMG\right_2023_12_08_12_58_47_050.jpg, 0, 0, 0, 7.821781E-05
D:\major_project\data\IMG\center_2023_12_08_12_58_47_153.jpg, D:\major_project\data\IMG\left_2023_12_08_12_58_47_153.jpg, D:\major_project\data\IMG\right_2023_12_08_12_58_47_153.jpg, 0, 0, 0, 7.813365E-05
D:\major_project\data\IMG\center_2023_12_08_12_58_47_254.jpg, D:\major_project\data\IMG\left_2023_12_08_12_58_47_254.jpg, D:\major_project\data\IMG\right_2023_12_08_12_58_47_254.jpg, 0, 0, 0, 7.807786E-05
D:\major_project\data\IMG\center_2023_12_08_12_58_47_360.jpg, D:\major_project\data\IMG\left_2023_12_08_12_58_47_360.jpg, D:\major_project\data\IMG\right_2023_12_08_12_58_47_360.jpg, 0, 0, 0, 7.852794E-05
D:\major_project\data\IMG\center_2023_12_08_12_58_47_462.jpg, D:\major_project\data\IMG\left_2023_12_08_12_58_47_462.jpg, D:\major_project\data\IMG\right_2023_12_08_12_58_47_462.jpg, 0, 0, 0, 7.830475E-05
D:\major_project\data\IMG\center_2023_12_08_12_58_47_564.jpg, D:\major_project\data\IMG\left_2023_12_08_12_58_47_564.jpg, D:\major_project\data\IMG\right_2023_12_08_12_58_47_564.jpg, 0, 0, 0, 7.804143E-05
D:\major_project\data\IMG\center_2023_12_08_12_58_47_667.jpg, D:\major_project\data\IMG\left_2023_12_08_12_58_47_667.jpg, D:\major_project\data\IMG\right_2023_12_08_12_58_47_667.jpg, 0, 0, 0, 7.866947E-05
